#t x y z vx vy vz
8.00 100.26 165.03 86.96 89.77 -231.28 142.98
8.07 106.07 146.54 96.28 72.86 -283.66 115.40
8.14 110.33 124.71 103.01 45.61 -328.10 67.99
8.21 112.36 100.32 105.40 10.08 -353.01 -5.30
8.29 110.93 76.07 100.83 -36.15 -327.91 -89.01
8.36 107.52 54.27 93.22 -72.35 -263.54 -149.31
8.43 101.79 38.17 81.37 -84.44 -187.38 -178.41
8.50 95.66 27.48 68.35 -86.70 -115.44 -181.27
8.57 89.53 21.59 55.62 -80.69 -51.92 -172.46
8.64 84.12 19.66 43.93 -74.50 -4.73 -153.28
8.71 79.27 20.87 33.94 -57.38 37.47 -126.28
8.79 75.73 24.80 26.06 -40.82 70.34 -96.87
8.86 73.56 30.74 20.20 -23.13 95.22 -65.14
8.93 72.75 38.32 16.80 -1.15 116.07 -29.99
9.00 73.18 47.17 15.73 16.79 131.76 3.57
9.07 75.13 56.93 17.27 37.54 140.55 40.93
9.14 78.63 67.18 21.68 61.27 143.80 83.84
9.21 83.83 77.40 29.29 85.33 140.51 127.82
9.29 91.02 87.01 40.11 116.26 128.08 175.52
9.36 100.61 95.17 54.62 149.48 97.48 229.62
9.43 112.58 100.19 72.90 179.85 37.89 281.27
9.50 126.69 99.81 94.21 208.75 -55.71 310.11
9.57 141.77 91.62 115.84 204.91 -173.21 287.18
9.64 155.28 76.14 133.66 166.22 -245.89 206.27
9.71 165.49 57.86 145.49 119.56 -259.32 125.37
9.79 172.30 39.87 151.95 75.86 -242.26 59.91
9.86 176.59 23.68 154.52 44.25 -211.90 11.68
9.93 178.62 9.74 153.94 14.09 -178.98 -25.46
10.00 178.92 -1.62 150.94 -7.68 -140.98 -58.21
10.07 177.64 -10.16 145.81 -30.15 -99.49 -84.80
10.14 174.82 -15.61 139.15 -47.33 -54.09 -103.65
10.21 170.91 -17.68 131.17 -62.37 -1.90 -119.52
10.29 165.89 -15.83 122.45 -74.71 53.80 -123.99
10.36 160.11 -9.75 113.52 -85.40 119.27 -124.26
10.43 154.07 1.48 105.24 -83.16 195.10 -103.63
10.50 148.78 18.23 99.55 -60.35 274.35 -50.73
10.57 150.09 41.03 105.10 -1.15 317.78 43.57
10.64 148.83 61.55 105.68 67.46 274.29 135.34
10.71 155.40 78.25 117.26 112.27 192.66 180.02
10.79 164.45 89.06 130.75 135.37 108.51 192.79
10.86 174.39 94.23 144.30 141.75 36.83 186.16
10.93 184.52 94.74 157.05 137.51 -22.46 169.99
11.00 194.16 91.00 168.34 131.82 -78.58 144.64
11.07 202.97 83.67 177.59 117.56 -124.56 113.74
11.14 210.65 73.21 184.36 96.54 -166.38 78.06
11.21 216.38 60.11 188.32 66.27 -198.59 34.01
11.29 219.91 45.06 188.95 31.22 -222.50 -14.52
11.36 220.67 28.68 185.63 -12.08 -234.28 -77.90
11.43 217.76 12.26 177.60 -69.46 -219.01 -146.57
