#t x y z vx vy vz
0.00 -377.22 611.18 -284.66 72.38 -73.57 52.26
0.07 -371.92 606.00 -281.19 74.48 -77.77 55.01
0.14 -366.68 600.62 -277.60 73.53 -76.95 52.59
0.21 -361.23 595.11 -274.02 72.66 -78.66 54.22
0.29 -356.14 589.66 -270.44 71.35 -80.96 51.54
0.36 -351.20 584.09 -267.00 71.95 -82.95 48.74
0.43 -346.20 578.27 -263.58 68.53 -81.53 45.34
0.50 -341.55 572.51 -260.41 67.97 -82.40 42.52
0.57 -336.92 566.67 -257.26 67.74 -82.08 41.83
0.64 -332.14 560.67 -254.08 66.68 -84.76 43.37
0.71 -327.83 554.54 -250.64 58.83 -82.87 43.16
0.79 -323.92 548.73 -247.52 53.79 -80.97 43.09
0.86 -320.43 543.06 -244.39 46.95 -75.98 41.07
0.93 -317.21 537.76 -241.36 44.98 -70.91 38.01
1.00 -313.98 532.76 -238.37 45.98 -69.02 42.28
1.07 -310.66 527.77 -235.01 42.24 -64.44 47.47
1.14 -307.62 523.11 -231.33 44.98 -61.28 47.79
1.21 -304.23 518.53 -227.63 47.55 -61.68 53.36
1.29 -300.77 514.01 -223.60 46.66 -59.96 57.56
1.36 -297.09 509.63 -219.48 51.39 -59.99 58.71
1.43 -293.24 505.14 -215.11 52.96 -61.20 62.11
1.50 -289.15 500.71 -210.67 57.69 -61.73 62.30
1.57 -284.86 496.19 -206.13 58.97 -62.58 63.17
1.64 -280.41 491.62 -201.52 62.53 -64.19 65.52
1.71 -275.64 486.93 -196.90 69.30 -67.85 66.85
1.79 -270.53 481.98 -191.97 72.96 -69.06 68.72
1.86 -265.26 477.15 -187.25 76.28 -72.10 70.17
1.93 -259.59 472.04 -182.23 78.00 -72.15 72.80
2.00 -253.96 466.84 -177.24 78.74 -74.19 73.17
2.07 -248.29 461.43 -172.09 81.05 -78.61 74.03
2.14 -242.26 455.87 -167.08 83.96 -82.29 76.72
2.21 -236.32 450.08 -161.71 85.60 -82.51 74.17
2.29 -230.21 444.36 -156.56 90.05 -83.89 71.44
2.36 -223.83 438.26 -151.29 93.43 -88.43 71.75
2.43 -217.45 431.89 -146.07 91.16 -92.55 71.44
2.50 -211.06 425.32 -140.92 93.13 -95.70 73.13
2.57 -204.53 418.44 -135.58 94.49 -97.33 73.83
2.64 -198.03 411.41 -130.11 92.74 -97.35 73.51
2.71 -191.44 404.44 -124.78 94.39 -99.29 72.50
2.79 -184.67 397.18 -119.29 95.00 -102.09 76.24
2.86 -177.96 389.84 -113.73 97.40 -104.14 76.49
2.93 -171.10 382.22 -108.03 96.77 -105.43 75.94
3.00 -164.16 374.39 -102.37 97.59 -110.79 78.18
3.07 -157.39 366.46 -96.57 99.56 -111.84 80.13
3.14 -150.03 358.05 -90.49 102.83 -117.60 80.46
3.21 -142.81 349.45 -84.45 104.96 -120.37 79.68
3.29 -135.27 340.45 -78.33 108.97 -128.80 84.22
3.36 -127.45 330.70 -71.77 111.90 -134.38 86.75
3.43 -119.34 320.69 -65.43 114.66 -143.79 85.56
3.50 -110.88 309.74 -59.15 119.42 -157.58 86.23
3.57 -102.39 297.91 -52.76 116.31 -168.58 89.13
3.64 -93.74 285.33 -46.58 121.65 -181.71 85.83
3.71 -84.69 271.57 -40.66 122.85 -199.32 81.52
3.79 -75.64 256.30 -35.11 123.73 -227.40 71.04
3.86 -66.63 238.96 -30.58 121.01 -259.14 53.10
3.93 -58.58 218.97 -28.04 94.95 -298.94 13.08
4.00 -53.55 197.84 -29.91 43.90 -286.00 -53.10
4.07 -51.64 179.57 -34.83 16.81 -232.17 -68.54
4.14 -50.68 165.26 -39.85 20.58 -186.25 -59.14
4.21 -49.52 153.31 -43.54 26.21 -159.60 -41.66
4.29 -48.07 142.85 -45.96 27.38 -135.93 -25.79
4.36 -46.76 133.87 -47.10 25.74 -115.15 -14.69
4.43 -45.56 126.29 -47.85 22.20 -99.79 -4.54
4.50 -44.39 119.79 -48.08 23.21 -83.01 0.35
4.57 -43.28 114.38 -48.08 19.31 -67.52 4.63
4.64 -41.83 109.28 -46.86 15.97 -54.75 8.99
4.71 -40.79 105.66 -46.04 15.56 -43.84 13.98
4.79 -39.81 102.90 -45.03 12.94 -32.65 14.87
4.86 -38.94 101.03 -43.98 16.71 -21.71 15.91
4.93 -38.02 99.97 -42.92 17.38 -10.67 16.40
5.00 -36.71 99.53 -41.76 19.71 -2.95 20.41
5.07 -35.26 99.55 -40.15 20.85 5.79 23.05
5.14 -33.54 100.22 -38.38 23.56 14.40 26.92
5.21 -31.28 101.44 -36.21 27.25 19.60 33.57
5.29 -29.41 103.15 -33.78 26.75 28.55 37.50
5.36 -27.25 105.55 -31.15 30.54 37.10 41.96
5.43 -25.23 108.60 -28.15 34.78 48.58 45.19
5.50 -22.66 112.34 -24.78 37.95 56.02 51.54
5.57 -19.91 116.95 -20.89 44.65 70.52 58.35
5.64 -16.74 122.59 -16.51 49.53 87.41 68.08
5.71 -13.01 129.66 -11.34 60.72 110.49 80.02
5.79 -8.33 138.71 -5.16 81.11 147.11 98.76
5.86 -0.49 150.72 3.24 197.08 148.35 134.35
5.93 10.53 156.80 9.18 120.08 20.43 64.32
6.00 17.63 157.90 12.17 50.95 -6.62 39.26
6.07 21.86 156.40 13.98 8.35 -21.28 22.19
6.14 23.84 152.78 15.33 -14.47 -50.92 8.32
6.21 19.08 145.64 16.17 -49.29 -112.93 -29.97
6.29 19.22 140.27 14.31 54.47 -3.48 28.77
6.36 22.98 139.78 18.26 34.03 -4.64 36.61
6.43 29.36 138.17 20.00 29.30 -27.99 40.86
6.50 28.41 136.69 21.28 37.52 -34.89 31.21
6.57 31.40 134.48 24.25 38.29 -26.01 45.59
6.64 34.59 132.72 26.91 41.94 -26.84 43.32
6.71 35.58 131.76 29.12 43.77 -26.95 38.20
6.79 38.82 129.91 31.67 38.26 -34.49 27.32
6.86 41.76 127.71 33.94 40.40 -32.40 27.03
6.93 44.15 125.68 35.94 39.50 -34.19 26.06
7.00 47.03 123.44 38.24 41.02 -34.09 26.83
7.07 49.46 120.78 40.17 34.25 -34.83 14.89
7.14 51.96 118.32 41.84 34.90 -30.84 14.69
7.21 54.46 116.16 43.61 33.45 -27.99 14.35
7.29 56.92 114.15 45.25 34.49 -29.60 14.54
7.36 60.33 112.35 46.12 38.06 -26.01 20.06
7.43 62.72 110.68 47.74 36.09 -23.23 20.55
7.50 65.29 109.05 49.57 38.31 -23.19 23.47
7.57 67.82 107.31 51.33 36.09 -22.89 25.81
7.64 70.42 105.62 53.40 34.46 -20.89 22.01
7.71 72.71 103.99 55.08 31.17 -19.35 22.05
7.79 75.38 103.25 55.99 33.51 -16.17 20.01
7.86 78.14 101.05 58.04 31.39 -18.12 21.15
7.93 80.74 99.64 59.57 31.98 -20.22 17.78
8.00 83.38 98.39 61.15 33.28 -17.46 22.01
8.07 85.83 97.23 62.80 33.94 -18.21 22.94
8.14 88.02 95.94 64.63 32.54 -16.15 25.35
8.21 90.42 94.88 66.39 34.12 -15.50 26.59
8.29 92.93 93.80 68.35 35.38 -20.70 31.73
8.36 95.37 92.46 70.47 36.67 -20.16 36.29
8.43 97.73 91.02 72.46 37.14 -23.98 33.11
8.50 100.02 89.14 74.55 34.09 -28.02 33.35
8.57 102.47 87.43 76.36 35.97 -28.44 29.92
8.64 104.99 85.33 78.17 33.59 -33.59 23.43
8.71 107.80 83.11 80.19 29.23 -31.20 25.48
8.79 109.91 81.26 82.06 32.48 -27.98 23.49
8.86 112.35 79.38 83.62 32.09 -29.40 20.90
8.93 114.46 77.41 85.25 31.93 -27.50 22.04
9.00 116.44 75.36 87.03 32.28 -26.14 19.71
9.07 118.77 73.47 88.64 29.19 -24.60 21.76
9.14 120.55 71.41 90.32 30.61 -25.18 21.14
9.21 122.74 69.71 91.89 29.55 -25.31 18.57
9.29 124.64 67.57 93.22 31.52 -26.51 19.35
9.36 126.74 65.67 94.80 31.06 -26.39 21.95
9.43 128.49 63.67 96.12 27.11 -25.33 21.71
9.50 130.69 62.84 97.09 25.48 -21.26 19.56
