#t x y z vx vy vz
9.57 132.58 61.18 98.69 25.47 -14.95 22.14
9.64 134.73 60.16 100.30 29.38 -13.51 22.88
9.71 136.93 59.06 102.21 31.68 -13.22 23.46
9.79 139.29 58.10 104.31 33.03 -14.28 25.15
9.86 141.79 57.06 106.47 33.81 -18.37 25.61
9.93 144.04 55.89 108.44 32.67 -20.01 30.08
10.00 146.44 54.85 110.69 36.52 -20.31 31.29
10.07 148.92 53.59 112.75 33.38 -19.22 31.78
10.14 151.34 52.28 114.89 31.17 -17.96 33.07
10.21 153.97 51.03 116.80 34.25 -19.14 30.31
10.29 156.37 49.27 119.06 34.37 -19.25 29.41
10.36 158.96 47.47 121.43 36.03 -19.32 28.21
10.43 162.16 46.01 123.14 34.82 -24.99 28.02
10.50 163.72 44.26 125.18 33.43 -31.48 24.86
10.57 165.86 42.26 126.86 32.53 -31.08 18.67
10.64 168.11 40.12 128.22 29.41 -30.29 18.69
10.71 170.26 38.11 129.60 31.72 -26.89 16.74
10.79 172.24 36.25 131.04 27.04 -22.83 19.79
10.86 174.05 34.61 132.41 28.58 -19.53 18.87
10.93 176.08 33.06 134.39 28.01 -17.16 21.27
11.00 177.96 31.69 135.69 30.54 -15.79 24.58
11.07 179.94 30.53 137.35 32.21 -17.11 26.46
11.14 181.94 29.07 138.92 30.08 -20.50 27.42
11.21 183.92 27.53 140.58 29.24 -18.82 29.31
11.29 186.26 26.36 142.37 29.28 -17.86 27.03
11.36 188.49 25.16 143.95 30.59 -20.59 27.78
11.43 191.05 23.68 146.16 31.66 -22.48 27.17
